sqm,rooms,year,price
227,5,1775,1285000
273,8,1720,1695000
30,2,1910,149750
130,3,1694,499000
52,3,1906,299000
59,3,1906,325000
101,3,1906,495000
28,1,1930,150000
140,4,1906,495000
41,2,1906,275000
85,3,1935,450000
36,2,1930,209000
99,4,1890,650000
67,2,1906,350000
144,3,1900,789000
67,3,1906,345000
50,3,1944,270000
104,3,1930,449000
90,3,1930,424500
202,2,1906,1445000
64,3,1991,339500
96,4,1906,475000
220,4,1775,875000
55,3,1900,274511
55,3,1987,275000
66,3,1906,334000
38,2,1906,195000
82,3,1906,450000
52,2,1930,329000
210,7,1906,1295000
100,3,1975,589000
23,2,1906,149000
276,8,1945,1475000
208,4,1902,749000
61,3,1981,350000
34,2,1906,199000
34,2,1906,225000
86,4,1931,500000
58,3,1930,295000
150,3,1852,750000
180,4,1906,1000000
48,2,1906,259500
110,3,1906,549000
63,2,1906,349000
130,4,1886,825000
147,4,1906,695000
27,1,1984,165000
40,2,1906,215000
120,4,1991,499500
120,3,1931,275000
111,5,1930,539500
207,4,2002,950000
98,4,1934,645000
134,3,1906,650000
