date,steps,goal,,
4/25/2014,9936,4994,,
4/26/2014,7465,5294,,
4/27/2014,9437,5610,,
4/28/2014,8368,5946,,
4/29/2014,10254,6302,,
4/30/2014,8776,6680,,
5/1/2014,10670,7080,,
5/2/2014,8294,7504,,
5/3/2014,7260,7622,,
5/4/2014,8012,7604,,
5/5/2014,10388,7664,,
5/6/2014,8656,7970,,
5/7/2014,9297,8072,,
5/8/2014,7743,8256,,
5/9/2014,13197,8230,,
5/10/2014,8873,8558,,
5/11/2014,8788,8606,,
5/12/2014,9049,8648,,
5/13/2014,12957,8708,,
5/14/2014,9318,9056,,
5/15/2014,9715,9102,,
5/16/2014,9550,9192,,
5/17/2014,10613,9246,,
5/18/2014,9396,9450,,
5/19/2014,10191,9448,,
5/20/2014,10370,9558,,
5/21/2014,10732,9680,,
5/22/2014,12470,9836,,
5/23/2014,10372,10230,,
5/24/2014,12618,10236,,
5/25/2014,10464,10356,,
5/26/2014,7523,10360,,
5/27/2014,9362,10219,,
5/28/2014,10307,9919,,
5/29/2014,10566,9977,,
5/30/2014,9649,10065,,
5/31/2014,10723,10044,,
6/1/2014,10382,10077,,
6/2/2014,9291,10092,,
6/3/2014,10970,10051,,
6/4/2014,10902,10096,,
6/5/2014,8418,10136,,
6/6/2014,12036,10050,,
6/7/2014,10672,10149,,
6/8/2014,8423,10175,,
6/9/2014,10099,10087,,
6/10/2014,10651,10088,,
6/11/2014,10215,10116,,
6/12/2014,10377,10120,,
6/13/2014,8763,10132,,
6/14/2014,12283,10063,,
6/15/2014,10652,10174,,
6/16/2014,11587,10197,,
6/17/2014,14688,10266,,
6/18/2014,10035,10471,,
6/19/2014,13311,10449,,
6/20/2014,10655,10592,,
6/21/2014,10831,10595,,
6/22/2014,7912,10606,,
6/23/2014,9132,10471,,
6/24/2014,12770,10002,,
6/25/2014,7959,10140,,
6/26/2014,8617,10030,,
6/27/2014,7064,9535,,
6/28/2014,7940,9058,,
6/29/2014,9066,8666,,
6/30/2014,8818,8726,,
7/1/2014,10710,8769,,
7/2/2014,9862,9060,,
7/3/2014,5974,9180,,
7/4/2014,10349,9019,,
7/5/2014,9545,9218,,
7/6/2014,11482,9267,,
7/7/2014,8627,9599,,
7/8/2014,5987,9550,,
7/9/2014,7515,9072,,
7/10/2014,7982,8618,,
7/11/2014,6700,8395,,
7/12/2014,7764,7975,,
7/13/2014,6435,7901,,
7/14/2014,6774,7505,,
