,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
2007-10-29 00:00:00,37.41,185.09,34.46,106.78,57.13,31.78,65.67,1540.98,85.51
2007-10-30 00:00:00,36.43,187.0,34.39,106.15,56.99,32.7,65.8,1531.02,83.25
2007-10-31 00:00:00,36.79,189.95,34.97,108.01,57.3,33.84,65.69,1549.38,84.03
2007-11-01 00:00:00,35.22,187.44,34.27,105.72,56.85,34.07,64.51,1508.44,80.84
2007-11-02 00:00:00,35.83,187.87,34.27,106.59,56.95,34.07,65.03,1509.65,80.32
2007-11-05 00:00:00,35.22,186.18,34.15,105.48,56.7,33.77,64.84,1502.17,80.07
2007-11-06 00:00:00,35.84,191.79,34.14,105.27,56.8,33.47,65.49,1520.27,82.56
2007-11-07 00:00:00,34.76,186.3,33.2,103.69,56.19,32.65,64.46,1475.62,79.96
2007-11-08 00:00:00,35.0,175.47,33.15,99.05,56.79,31.94,65.5,1474.77,82.0
2007-11-09 00:00:00,34.47,165.37,32.61,93.58,57.29,31.01,65.48,1453.7,79.64
2007-11-12 00:00:00,33.33,153.76,32.5,94.7,58.3,30.69,64.67,1439.18,77.52
2007-11-13 00:00:00,34.04,169.96,33.31,98.27,59.18,31.79,65.35,1481.05,79.67
2007-11-14 00:00:00,34.25,166.11,33.14,96.56,58.81,31.3,65.99,1470.58,79.15
2007-11-15 00:00:00,33.76,164.3,32.55,96.71,58.8,31.14,65.57,1451.15,77.48
2007-11-16 00:00:00,33.74,166.39,32.84,97.82,59.56,31.44,66.08,1458.74,78.04
2007-11-19 00:00:00,32.59,163.95,32.42,95.42,59.42,31.32,66.9,1433.27,77.13
2007-11-20 00:00:00,32.88,168.85,32.32,96.54,59.47,31.9,66.69,1439.7,80.53
2007-11-21 00:00:00,32.68,168.46,31.58,95.42,59.03,31.57,66.87,1416.77,79.82
2007-11-23 00:00:00,32.66,171.54,32.01,97.13,59.16,31.46,67.29,1440.7,80.96
2007-11-26 00:00:00,32.41,172.54,31.21,95.19,59.6,30.41,66.56,1407.22,78.57
2007-11-27 00:00:00,32.56,174.81,31.82,96.92,59.92,30.49,67.65,1428.23,79.21
2007-11-28 00:00:00,33.65,180.22,32.68,100.23,60.46,31.08,68.76,1469.02,80.62
2007-11-29 00:00:00,33.97,184.29,32.4,100.35,60.51,30.98,68.2,1469.72,81.24
2007-11-30 00:00:00,33.8,182.22,32.53,98.18,59.93,30.99,68.78,1481.14,81.76
2007-12-03 00:00:00,32.98,178.86,31.38,98.79,59.9,30.36,68.24,1472.42,81.48
2007-12-04 00:00:00,32.76,179.81,30.8,99.54,60.1,30.23,68.3,1462.79,80.81
2007-12-05 00:00:00,33.09,185.5,31.19,100.97,60.34,31.5,68.3,1485.01,82.46
2007-12-06 00:00:00,33.32,189.95,31.66,102.4,60.42,31.87,68.98,1507.34,83.85
2007-12-07 00:00:00,34.3,194.3,31.63,101.62,59.87,31.85,68.95,1504.66,83.91
2007-12-10 00:00:00,35.17,194.21,31.78,102.11,59.97,32.06,69.2,1515.96,84.39
2007-12-11 00:00:00,33.58,188.54,31.46,99.87,59.76,31.45,68.49,1477.65,82.79
2007-12-12 00:00:00,34.27,190.86,31.65,101.25,59.89,31.79,69.93,1486.59,84.29
2007-12-13 00:00:00,33.76,191.83,31.93,100.98,60.04,32.49,70.47,1488.41,85.03
2007-12-14 00:00:00,32.7,190.39,31.36,98.73,59.79,32.57,70.26,1467.95,83.61
2007-12-17 00:00:00,31.5,184.4,30.99,97.58,59.76,31.72,69.28,1445.9,82.43
2007-12-18 00:00:00,31.97,182.98,31.27,99.24,59.9,32.04,68.97,1454.98,83.83
2007-12-19 00:00:00,32.05,183.12,31.07,100.01,59.55,32.09,68.76,1453.0,83.84
2007-12-20 00:00:00,32.89,187.21,31.29,101.6,59.56,32.76,68.5,1460.12,84.48
2007-12-21 00:00:00,33.78,193.91,31.82,103.66,60.18,33.26,69.27,1484.46,85.68
2007-12-24 00:00:00,34.39,198.8,32.16,104.22,60.04,33.74,69.59,1496.45,85.89
2007-12-26 00:00:00,34.76,198.95,32.18,104.14,59.77,33.77,69.2,1497.66,86.94
2007-12-27 00:00:00,34.37,198.57,31.87,102.31,59.56,33.18,68.68,1476.27,85.9
2007-12-28 00:00:00,34.25,199.83,32.0,102.77,59.61,33.32,68.98,1478.49,87.12
2007-12-31 00:00:00,33.97,198.08,31.76,100.91,59.01,32.84,67.97,1468.36,85.91
2008-01-02 00:00:00,33.58,194.84,31.5,97.73,58.31,32.49,67.42,1447.16,85.75
2008-01-03 00:00:00,33.63,194.93,31.53,97.92,58.32,32.62,67.86,1447.16,86.04
2008-01-04 00:00:00,32.4,180.05,30.88,94.4,58.24,31.71,67.65,1411.63,84.44
2008-01-07 00:00:00,30.77,177.64,31.0,93.39,59.15,31.92,69.24,1416.18,83.65
2008-01-08 00:00:00,28.81,171.25,30.33,91.1,59.22,30.85,69.79,1390.19,82.58
2008-01-09 00:00:00,29.04,179.4,30.68,91.77,59.98,31.77,70.51,1409.13,83.96
2008-01-10 00:00:00,29.22,178.02,30.78,93.27,60.08,31.67,71.25,1420.33,84.05
