screen_name,tweet
kdnuggets,"Metaps, Japanese App Monetization firm, raises $36M series C to push Into #BigData, #MachineLearning #BigDataCo http://t.co/ly3sS2fpdb"
kdnuggets,Good list: Frequently updated and active #MachineLearning blogs http://t.co/4rw1alb6Zz http://t.co/3yr6o0lIUg
kdnuggets,"Information Designer for Facebook Timeline, on Data #Visualization and #BigData http://t.co/VkQoOLK3sE http://t.co/LoEZ3DL3FX"
kdnuggets,"Top /r/MachineLearning posts, Jan http://t.co/fWgZJLB5qJ"
kdnuggets,Free #MachineLearning and Predictive #Analytics Training with Microsoft Virtual Academy on #AzureML http://t.co/zGCVYYQbgr
kdnuggets,"#Data Scientists most happy doing #Predictive Analysis, least when data cleaning @CrowdFlower http://t.co/lllrqztvZc http://t.co/qQ7YbaV9Rz"
kdnuggets,Cartoon: Data Scientist gets 3 wishes for Valentine's Day http://t.co/yFOPmSTazV
kdnuggets,SUTD: Postdoctoral Fellowship at MIT and SUTD http://t.co/zwifLjpbYm
kdnuggets,Localytics: Data Scientist http://t.co/oKhgVFtfBP
kdnuggets,My Brief Guide to Big Data and Predictive Analytics for non-experts http://t.co/ouQEGEqFfq
kdnuggets,"Luminoso brings  #Text #Analytics to streaming data, can take sentiment from Twitter, FB, ... in near #RealTime http://t.co/yS1tMLvfeA"
kdnuggets,"Vote in KDnuggets Annual Poll: #Analytics, #DataScience, #DataMining salary & role http://t.co/g1HPCp36QJ http://t.co/q9Xel4KJTb"
kdnuggets,"Elon Musk to talk self-driving cars, #DeepLearning at #GPU Tech Conf 2015 #NVidia, Mar 17-20 http://t.co/khZTqckQ5h http://t.co/UfFrNv0B2F"
kdnuggets,BookMyShow Buys Majority Stake in Bengaluru #SocialMedia #Analytics firm Eventifier for ~ $1M #BigDataCo http://t.co/9MLLKyTDD7
kdnuggets,"Interview: M.C. Srivas, CTO, MapR on Data Agility - The Next Frontier of Big Data http://t.co/b4FQat3nHt"
kdnuggets,"Numerify makes new Product Release, has record growth in 2014, serves analytics applications in 4M incidents  http://t.co/FNreMdnlRW"
kdnuggets,"Zetta Ventures raised $60M to invest in #startups in data #analytics, invested in Domo, Optimine, FollowAnalytics http://t.co/Voet96sP9r"
kdnuggets,http://t.co/ZAEXVdBNa6 Online Data Science Courses and Certificates http://t.co/t42QQ7fVor
kdnuggets,"Researchers squeeze a #DeepLearning program onto Android smartphone, say it is 10% more accurate MIT @techreview http://t.co/K2ihyjbWV1"
kdnuggets,"#DeepLearning for #Speech Recognition - Recent Papers: Acoustic Modeling, Phoneme, Emotion modeling, and more http://t.co/e5onp25eES"
kdnuggets,"Watch: @Digimindci Social Influencer Network on Twitter - find your brand top influencers, communities http://t.co/Yj0lpACqRK"
kdnuggets,"Lipari Summer School: Algorithms, Data, and Models for Social and Urban Systems http://t.co/b4F27ky3pD"
kdnuggets,"Ontotext: Integrated Text Mining and Triplestores, a form graph database http://t.co/p6tkNiX26G"
kdnuggets,"#StrataHadoop comes to #London May 5-7: Check the agenda, get your pass before Best Price ends Thu Feb 12 #BigData http://t.co/r7b9uS0TWU"
kdnuggets,Apple: iOS/OS X Data Analysis Data Scientist http://t.co/klQW695iwH
kdnuggets,"RT @NomadIT: KDnuggets Annual Poll: Analytics/Data Science/Data Mining income/salary, role, and employment http://t.co/B9vlYMYP3e via @kdnu…"
kdnuggets,.@andrea_ricca there are some #DataScience bootcamps in Europe - check http://t.co/IP9g3Wn1sK  and http://t.co/HnelV7FTj4  pages
kdnuggets,"Best Price for pass to #StrataHadoop #London ends Feb 12
http://t.co/HGxefC6I9n  New for 2015: Data Training Sessions"
kdnuggets,"Top KDnuggets tweets, Feb 9-10: Teach #Python or R for #DataScience? #BigData suprising finding on Divorce http://t.co/UN1YOkLJmN"
kdnuggets,"Romantic #DataScientist @crockpotveggies automates #Tinder with Eigenfaces, #SentimentAnalysis http://t.co/lWvkIXv2BV http://t.co/bZMBZ70wDB"
kdnuggets,.@NYUStern Prof. Srikanth Jagabathula gets @NSF $500K CAREER Award for Data-Driven Modeling and Learning Research http://t.co/X0dOsPWZkG
kdnuggets,"Steve Miller examines Predictive #Analytics vs #DataScience, finds data/computation a big issue for data science http://t.co/Oabbrbag9x"
kdnuggets,"Big List of #DataScience Bootcamps & Fellowships: #NYC, #Seattle, #SiliconValley, #Chicago http://t.co/XSdFvu4na9 http://t.co/CcEZzLxnoq"
kdnuggets,A Common #Analytic #Fail - causation is not correlation unless you test it! http://t.co/LdwqxMv4q8 http://t.co/sOQOzESsB9
kdnuggets,@crockpotveggies great post on Tinder - can we repost it in KDnuggets?
kdnuggets,"DataDog buys Mortar Data To Tie #Analytics to #Monitoring, aims at smart monitoring #BigDataCo http://t.co/MeL9tHQmQ5"
kdnuggets,HP buys Voltage Security in #BigData #encryption push #BigDataCo http://t.co/mANcEGDYPF
kdnuggets,"#DataMining finds corruption is correlated with low income, low development MIT @techreview http://t.co/Llf2oXmjv4 http://t.co/jn5uqRjnWL"
kdnuggets,"Interview: M.C. Srivas, MapR on Demystifying the Art of Processing Massive Data http://t.co/8iIGnTSSD3"
kdnuggets,"#BigData Bubble Bursting? @Kaggle, #DataScience Competitions leader, cuts 1/3 of staff, closes energy unit #BigDataCo http://t.co/zH9yN8uWTB"
kdnuggets,"Big move! Hitachi buys Pentaho to extend Its #BigData footprint, will set a new unit (Pitachi? Hitaho?) #BigDataCo http://t.co/3gw6rIjxXf"
kdnuggets,Apple: Data Mining Scientist http://t.co/kuDlc0LXkf
kdnuggets,Big Data Innovators Under 35 http://t.co/yn2ewaYRYL
kdnuggets,"KDnuggets  News 15:n05, Feb 11: Annual Salary Poll; 10 things statistics teaches about Big Data; Data Science Jargon http://t.co/h3d3jtMpiB"
kdnuggets,"#KDD2015 tutorial proposals on hot topics in #DataMining, #BigData, #DataScience due Mar 20 http://t.co/DCfo5x20gy http://t.co/mq9tBFqcEk"
kdnuggets,"Vote in KDnuggets Annual Poll: #Analytics, #DataScience, #DataMining salary, role & employment http://t.co/fbtDeAdCfG http://t.co/er1EYz3riA"
kdnuggets,Top Analytics and Big Data Trends ahead of Strata Hadoop World San Jose http://t.co/uuZaD8NfHt
kdnuggets,"KDnuggets Annual Poll: Analytics/Data Science/Data Mining income/salary, role, and employment http://t.co/M47wTZ7jqV"
kdnuggets,Expert Training within Reach http://t.co/4Q92OXK20F
kdnuggets,PAW: How Predictive Analytics Reinvents These Six Industries http://t.co/byZjGhLPw4
kdnuggets,"Info Kit: Statistics, Predictive Modeling, Data Mining with JMP http://t.co/db4251RviS"
kdnuggets,"TMA Predictive Analytics Data Mining Training [Orlando, Mar | Las Vegas, Apr] http://t.co/Eqg5GwUTU0"
kdnuggets,"Interview: Phani Nagarjuna, Nuevora on Right Data and Business Analytics Roadmap http://t.co/HzK75dXAim"
kdnuggets,"Data Science's Most Used, Confused, and Abused Jargon http://t.co/BtjCXEBKbt"
kdnuggets,"How I did on Twitter this week: 400 New Followers, 298 Mentions, 680K Mention Reach. How'd your week go? via http://t.co/VudI8SaKGF"
kdnuggets,Analyzing Analysts to Build Better Analysis Software http://t.co/4kkbOcyiC8
kdnuggets,#BigData on Divorce: Wedding with 200+ guests is 92% less likely to lead to divorce http://t.co/9CspxGmdgD http://t.co/sQXQvFroXu
kdnuggets,10 things statistics taught us about big data analysis http://t.co/cqx8K7LukG
kdnuggets,"Stanford Online Courses: Use data to solve biological, medical problems http://t.co/YGCgf0y6nu"
kdnuggets,"Interview: Phani Nagarjuna, Nuevora on CMO Expectations from Analytics http://t.co/8RA07dq0ru"
kdnuggets,"Top KDnuggets tweets, Feb 02-08: 10 things statistics teaches about Big Data analysis; Where is Waldo ruined b... http://t.co/dT9Sapchto"
kdnuggets,"#WhiteHouse says problems with #BigData, differential pricing can be dealt by antidiscrimination, consumer prot laws http://t.co/xyhMzRwsjt"
kdnuggets,"#Women professors get lower ratings than men, largest gap in Math, smallest in Justice http://t.co/aWEDg3Gwur http://t.co/8xQXVFFvNa"
kdnuggets,"Millions of Facebook users don't know they're using internet, esp. in Indonesia, Thailand http://t.co/UotpXm05nZ http://t.co/t42Jzl2GU6"
kdnuggets,Iterable raised $1.2M for a comprehensive platform for email marketing #BigDataCo http://t.co/LrMT4VM4uN
kdnuggets,"The Moral Hazard of #BigData: 'Black Box Society' looks at how data came to dominate reputation, search, & finance http://t.co/SIz1AzwfCa"
kdnuggets,"Old data analysts don't die - they just get broken down by age and sex, and more #BigData jokes http://t.co/gT93iJSWhh"
