INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
12/31/2013 0:00,CA,KHWD,HAYWARD EXECUTIVE ARPT,UNK,UNKNOWN,UNKNOWN,,YI005,Barn swallow,,,,,,,,,,,,,,,,TRUE,FALSE,12,2013,,,AWP,,28L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,"REMAINS OF A BARN SWALLOW DISCOVERED ON RWY 28L, N OF THE C/L NEAR E. REMAINS INTACT. NO STRIKE REPTD. REMAINS ID'D AND DISPOSED OF PER ARPT POLICY. 1000 AM DAY.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,4/24/2014 0:00,FALSE,FALSE
12/31/2013 0:00,CA,KSMF,SACRAMENTO INTL,PCM,WESTAIR,C-208,C,J2104,Northern pintail,M,,226,42,31,4,A,2,1,7,,,,N782FE,7655,TRUE,TRUE,12,2013,Night,1738,AWP,,34L,,400,135,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PART NOT REPTD,None,,No Cloud,None,2 to 10,1,Medium,Y,"SOURCE = TWO xxxx-x (xxxx-x-x-xxxxxx, Rx), FAA ASIAS, MOR, DAILY REPT APP EVENT xxxxxx","ID BY SMITHSONIAN. DMG REPTD AS MINOR. ENG REPTD AS BEING STRUCK. DENT ABOUT 2"" ACROSS AND 1/8 INCH DEEP. PART NOT REPTD.",,,,,Deleted,Deleted,,Multiple,Airport Operations,,,4/24/2014 0:00,FALSE,TRUE
12/31/2013 0:00,CA,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,BUS,BUSINESS,C-650,D,H4105,Double-crested cormorant,M,22000,226,39,19,1,A,3,2,5,5,,,N727TX,,FALSE,FALSE,12,2013,Day,1640,AWP,,19R,,700,200,0.2,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,11 to 100,2 to 10,Large,N,"OPER = CITATION NxxKF, LLC SOURCE = FOUR xxxx-x (xxxx-x-x-xxxxxx, Rx-Rx)","DAMAGED WING LEADING EDGE. SEVERAL LRG BIRDS WERE SEEN OVER THE MARSHLAND BTWN THE DEP END OF THE RWY AND THE BEACH. 1/4 MILE FROM DEP END OF RWY. ALL BIRDS APPEARED TO BE DARK IN COLOR AND HAD A LRG WING SPAN. I WOULD ESTIMATE THA AT LEST 20 BIRDS WERE SEEN AND MAYBE 2 WERE STRUCK. PHOTOS OF DCCO WERE SENT TO THE PILOT WHO SAID THEY WERE WHAT HE SAW GO BY THE WINDSCREEN. A/C WAS OUT OF SVC FOR 1 WEEK. COST TO REPLACE LEADING EDGE WAS $22,000. FERRY FLIGHT WAS APPROVED FOR A ONE TIME FLT TO CESSNA SERVICE CENTER.",189,,22588,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,4/24/2014 0:00,FALSE,TRUE
12/30/2013 0:00,CA,KSMF,SACRAMENTO INTL,UNK,UNKNOWN,UNKNOWN,,1A1,Virginia opossum,,,,,,,,,,,,,,,,TRUE,FALSE,12,2013,,,AWP,,34L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Large,,xxxx-x-x-xxxxxx,CARCASS FOUND AT INTXN OF 34L AND A8. 2045 PM NIGHT.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,4/24/2014 0:00,FALSE,FALSE
12/30/2013 0:00,CA,KMER,CASTLE ARPT,BUS,BUSINESS,PA-44 SEMINOLE,A,K33,Hawks,M,,729,33,7,19,A,2,2,4,4,,,N2PW,,FALSE,FALSE,12,2013,Day,1640,AWP,,31,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,"OPER = KS AVIATION, INC SOURCE = DAILY REPT APP EVENT xxxxxx, FAA ASIAS",STRUCK A HAWK DURING LDG ROLLOUT ON RWY 31. MINOR DING ON WING EDGE REPTD.,,,,,Deleted,Deleted,,Multiple,Tower,,,4/24/2014 0:00,FALSE,TRUE
12/30/2013 0:00,CA,KSMF,SACRAMENTO INTL,SKW,SKYWEST AIRLINES,CRJ700,D,ZT002,Western meadowlark,N,,188,16,22,4,A,4,2,5,5,,,N625CA,4575,TRUE,TRUE,12,2013,Day,936,AWP,,34R,,50,135,0,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,None,,No Cloud,None,11 to 100,1,Small,Y,"SOURCE = TWO xxxx-x (xxxx-xx-xx-xxxxxx, Rx), DAILY REPT APP EVENT xxxxxx",ID BY SMITHSONIAN. NO REPTD DMG. BIRD WAS HIT DURING LDG FLARE.,,,,,Deleted,Deleted,,Multiple,Tower,,,4/24/2014 0:00,FALSE,FALSE
12/30/2013 0:00,CA,KLGB,LONG BEACH-DAUGH FLD,UNK,UNKNOWN,UNKNOWN,,N5111,Killdeer,,,,,,,,,,,,,,,,TRUE,TRUE,12,2013,,,AWP,,25L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"SOURCE = FOUR xxxx-x (xxxx-xx-xx-xxxxxx, Rx, Rx, Rx)","ID BY SMITHSONIAN. ONLY FEATHERS AND SOME ADDTL ORGANIC MATERIAL FOUND ON THE RWY, N OF C/L JUST W OF FOXTROT 1. INITIALLY SUSPECTED PREDATION BUT UPON EXAMINING THE ORGANIC MATERIAL, CAME TO THE CONCLUSION THAT IS MORE LIKELY A FRAGMENT OF THE BIRDS SKULL AND THAT AMT OF FORCE COULD ONLY BE INFLICTED BY A STRIKING A/C. AFTER COMPARING THE FEATHERS COLLECTED WITH SPECIMENS FROM THE ONSITE WS FREEZER FIRMLY BELIEVE THEY ARE FROM A KILLDEER BUT SENT IT OFF FOR ANALYSIS. 800 AM DAY.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,4/24/2014 0:00,FALSE,FALSE
12/28/2013 0:00,CA,KLAX,LOS ANGELES INTL,ACA,AIR CANADA,A-320,D,UNKBS,Unknown bird - small,N,,04A,3,10,1,A,4,2,1,1,,,C-GKOD,798,FALSE,FALSE,12,2013,Day,1100,AWP,,,,,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,,xxxx-xx-xx-xxxxxx,STRUCK FRWD FUSELAGE ABOVE COCKPIT ON INITIAL CLIMB.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Air Transport Operations,,,4/24/2014 0:00,FALSE,FALSE
12/28/2013 0:00,CA,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,ZT002,Western meadowlark,N,,148,42,10,1,A,4,2,1,1,,,N553WN,1986,TRUE,FALSE,12,2013,Day,705,AWP,,19R,,0,130,0,Take-off run,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,2 to 10,1,Small,N,"SOURCE = THREE xxxx-x (xxxx-xx-xx-xxxxxx, Rx, Rx) DAILY REPT APP EVENT xxxxxx, MOR","JUST BEFORE ROTATION A FLOCK OF ABOUT 10 BIRDS FLEW IN FRONT OF A/C. ONE STRUCK TOP OF F/O'S WINDSHLD. UNABLE TO DETERMINE IF ANY OTHERS STRUCK. ON ARRIVAL IN DEN, INSPN FOUND NO DMG. USDA/WS CONFIRMED ID OF REMAINS THAT WERE RECOVERD BY OPS ON RWY 19R.",,,,,Deleted,Deleted,,Multiple,Pilot,,,4/24/2014 0:00,FALSE,FALSE
12/27/2013 0:00,CA,KSFO,SAN FRANCISCO INTL ARPT,UAL,UNITED AIRLINES,B-737-900,D,NE1,Gulls,N,,148,48,10,1,A,4,2,1,1,,,N75410,1151,TRUE,TRUE,12,2013,Day,1200,AWP,,28R,,,,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Medium,N,"SOURCE = TWO xxxx-x (xxxx-xx-xx-xxxxxx, Rx)",ID BY SMITHSONIAN. UNDETERMINED SPECIES OF WHITE-HEADED GULL (LARUS SP.). INSUFFICIENT DIAGNOSTIC MATERIAL FOR MORE SPECIFIC ID.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,4/24/2014 0:00,FALSE,FALSE
